순번,이름,연식,주행거리,연료,배기량,색상,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_내차피해(가격),보증여부,보증기간,보증거리
77,3,120,95522,2,2359,흰색,13500000,45,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,3,0,1,0,0,0,0
78,3,63,74509,2,2359,검정색,17500000,56,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
79,3,136,69884,2,2999,검정색,8990000,27,0,1,1,1,0,1,0,1,0,1,1,4,0,0,0,0,5,0,2,0,0,0,0
80,3,52,57751,0,2199,검정색,16800000,47,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,9,0,11,0,1,60,100000
81,3,121,100000,1,2999,흰색,7900000,0,0,1,1,1,1,1,0,1,0,0,1,6,0,0,0,0,5,0,1,0,0,0,0
82,3,129,152000,1,2999,검정색,6000000,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
83,3,97,147000,3,2359,검정색,8800000,24,0,0,1,1,1,1,0,1,0,1,1,4,1,0,0,0,1,0,1,0,0,0,0
84,3,101,127000,3,2359,흰색,8500000,22,1,1,1,0,1,1,0,1,1,1,1,6,1,0,0,0,3,0,2,0,0,0,0
85,3,117,119000,2,2999,검정색,5900000,18,0,0,1,1,0,1,0,1,0,0,1,6,1,0,0,0,3,0,2,0,0,0,0
86,3,61,80000,1,2999,흰색,16500000,56,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
87,3,139,155500,2,2359,검정색,4200000,14,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,6,0,3,0,0,0,0
88,3,52,63599,2,2999,진회색,21400000,59,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,2,0,0,0,1,60,100000
89,3,193,148586,2,2656,검정색,1490000,5,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,5,0,6,0,0,0,0
90,3,144,124431,1,2999,흰색,7900000,0,1,1,1,1,1,1,0,1,0,1,1,7,0,0,0,0,8,0,3,0,0,0,0
91,3,129,111068,2,2999,흰색,5600000,14,0,1,1,1,1,1,0,1,0,1,1,3,0,0,0,0,6,0,1,0,0,0,0
92,3,106,136659,3,2359,검정색,8400000,22,0,1,1,1,1,1,0,1,0,1,1,5,0,0,0,0,2,0,1,0,0,0,0
93,3,79,105750,1,2999,흰색,8300000,0,0,1,1,1,1,1,0,1,0,1,1,4,0,0,0,0,1,0,0,0,0,0,0
94,3,65,119876,2,2999,흰색,14990000,41,0,1,1,1,1,1,0,1,0,1,1,3,0,0,0,0,3,0,0,0,0,0,0
95,3,111,131412,2,2999,흰색,8700000,24,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,5,0,3,0,0,0,0
96,3,133,157441,2,2999,은색,6300000,17,1,1,1,1,0,0,0,0,0,1,1,4,0,0,0,0,3,0,2,0,0,0,0
97,3,103,111120,2,2359,검정색,8700000,29,0,0,0,1,1,1,0,1,0,1,1,2,0,0,0,0,7,0,4,0,0,0,0
98,3,116,119169,2,2359,검정색,7990000,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
99,3,85,113465,2,2359,검정색,9800000,32,1,1,1,1,1,1,0,1,0,1,1,5,0,0,0,0,3,0,2,0,0,0,0
100,3,81,134143,2,2359,흰색,9500000,30,0,0,1,1,1,1,0,1,0,1,1,2,0,0,0,0,3,0,2,0,0,0,0
101,3,142,120856,2,2359,흰색,6800000,22,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,6,0,2,0,0,0,0
102,3,111,76579,2,2359,검정색,8990000,30,0,0,0,1,1,1,0,1,0,0,1,2,0,0,0,0,5,0,6,0,0,0,0
103,3,69,110554,2,3342,진회색,17990000,43,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
104,3,106,132231,1,2999,검정색,8990000,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,6,0,4,0,0,0,0
105,3,61,11211,2,2999,검정색,23990000,61,1,1,0,1,1,1,0,1,1,1,1,2,0,0,0,0,2,0,3,0,0,0,0
106,3,45,80563,1,2999,진회색,17700000,67,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,1,60,100000
107,3,170,362000,1,2656,검정색,2000000,86,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
108,3,90,176615,3,2359,청옥색,12880000,34,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,29,44839,3,2359,진청색,35900000,94,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,60,100000
110,3,40,37663,2,2359,진회색,24500000,75,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,60,100000
111,3,18,17145,2,2497,흰색,34100000,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,60,100000
112,3,33,30500,2,2497,진회색,2200000,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
113,3,136,110000,2,2359,흰색,7990000,26,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,7,0,4,0,0,0,0
114,3,135,97000,2,2359,흰색,8790000,29,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
115,3,50,32700,2,2359,남색,23500000,75,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
116,3,5,15000,2,2497,흰색,1000000,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,60,100000
117,3,172,149000,2,2656,검정색,2800000,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,5,0,2,0,0,0,0
118,3,139,141582,2,2359,흰색,7700000,25,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0
119,3,139,167238,1,2999,검정색,5200000,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,6,0,2,0,0,0,0
120,3,168,74295,2,2656,검정색,3300000,10,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,5,0,1,0,0,0,0
121,3,103,160000,3,2359,흰색,10900000,29,1,1,0,1,1,1,0,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0
122,3,49,58000,2,2359,회색,21800000,67,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,60,100000
123,3,136,188000,2,2999,흰색,6300000,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,3,122,233000,2,2999,검정색,5900000,15,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
125,3,58,26416,1,2999,검정색,27300000,81,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,60,100000
126,3,88,58000,4,2359,검정색,18500000,49,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
127,3,29,52000,2,2497,흰색,27500000,81,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
128,3,80,89076,1,2999,검정색,11200000,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0
129,3,68,110518,3,2359,진회색,19500000,52,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
130,3,63,135300,2,2359,검정색,12500000,39,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
131,3,130,155610,2,2999,회색,5400000,16,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,2,0,0,0,0
132,3,64,70640,2,2999,검정색,14000000,35,0,0,1,1,1,1,1,1,1,1,1,2,1,0,0,0,5,0,2,0,0,0,0
133,3,53,46530,3,2359,검정색,22500000,60,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,3,0,1,0,1,60,100000
134,3,130,132234,2,2359,검정색,6900000,23,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,2,0,0,0,0
135,3,26,66011,3,2359,검정색,33000000,86,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,60,100000
136,3,70,82975,1,2999,흰색,16990000,64,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0
137,3,109,85000,2,2359,흰색,9900000,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,3,89,217883,2,2359,검정색,8900000,29,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
139,3,56,121321,1,2999,검정색,16700000,57,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,2,0,1,60,100000
140,3,56,60500,3,2999,흰색,22000000,75,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,60,100000
141,3,188,165400,1,2656,흰색,2600000,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,3,61,120000,2,2359,흰색,17500000,55,1,1,1,1,1,1,0,1,0,1,1,3,0,0,0,0,3,0,3,0,0,0,0
143,3,79,137100,0,2199,검정색,11000000,34,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
144,3,21,13050,2,3342,진청색,38000000,96,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,60,100000
145,3,63,70534,2,2999,검정색,22050000,56,1,1,1,1,1,1,0,1,1,1,1,2,0,0,0,0,3,0,1,0,0,0,0
146,3,31,80690,2,2497,검정색,26500000,78,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
147,3,28,109352,2,2497,흰색,31800000,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,5,0,1,0,0,0,0
148,3,63,109000,2,2999,검정색,[계약,54,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
149,3,49,92170,2,2999,검정색,21300000,59,1,1,1,1,1,1,0,1,1,1,1,2,0,0,0,0,2,0,0,0,1,60,100000
150,3,43,14983,2,2359,흰색,23900000,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3,62,60627,2,2999,흰색,27000000,69,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
152,3,27,17900,4,2359,흰색,41500000,92,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
153,3,191,132949,2,2359,은색,2490000,9,0,0,1,0,0,1,0,1,0,0,1,5,0,0,0,0,5,0,1,0,0,0,0
154,3,177,165000,1,2656,검정색,3000000,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
155,3,37,57778,2,2999,검정색,23900000,68,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,60,100000
156,3,39,61250,2,2359,흰색,10000,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
157,3,51,167192,2,2359,검정색,14300000,44,0,0,0,0,1,1,0,1,0,0,1,3,0,0,0,0,1,0,1,0,1,60,100000
158,3,69,76624,2,2359,검정색,17900000,55,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,60,100000
159,3,103,100732,3,2359,검정색,11900000,32,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
160,3,63,136266,1,2999,검정색,16900000,57,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,60,100000
161,3,134,128385,2,2999,은색,8990000,23,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,3,109,157250,2,2999,검정색,9300000,25,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
163,3,123,214175,2,2359,검정색,5990000,20,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
164,3,122,163000,1,2999,검정색,8500000,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
165,3,48,34000,4,2359,진회색,40500000,90,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
166,3,23,14500,1,2999,흰색,31000000,92,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,60,100000
167,3,129,2300000,2,2999,검정색,7000000,15,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
168,3,99,158000,2,2359,연금색,7500000,25,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
169,3,27,22222,2,2497,기타색상,33000000,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
170,3,27,53400,4,2359,기타색상,38000000,84,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
171,3,62,113000,2,2999,남색,19000000,54,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
172,3,417,280000,2,1997,검정색,20000000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
173,3,33,56000,1,2999,흰색,14600000,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,3,19,2400,2,2497,검정색,40500000,97,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,60,100000
175,3,59,75276,2,2999,검정색,21990000,62,0,0,1,1,1,1,0,1,0,1,1,3,0,0,0,0,0,0,1,0,1,60,100000
176,3,87,127500,2,2359,파란색,14800000,49,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
177,3,63,87500,1,2999,검정색,18990000,65,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
178,3,187,64743,2,2656,검정색,3600000,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,3,141,164729,2,3342,검정색,6700000,15,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
180,3,366,256000,2,1997,회색,15000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,3,77,202000,2,2359,검정색,9000000,30,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
182,3,386,208000,2,1997,갈색,10000000,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
183,3,52,62000,2,2359,흰색 (블랙 무광랩핑),25200000,74,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
184,3,113,110000,2,2999,검정색,12000000,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,1,180,157237,0,2497,흰색,6500000,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0
186,3,51,16086,0,2497,회색,17600000,76,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
187,3,59,88156,0,2497,회색,16300000,68,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,1,0,0,0,0
